t [s],x [m],y [m],vx,vy
0.0,0.0,0.0,0.0,0.0
0.1,0.09118765061843599,0.41971773580748145,0.9118765061843599,4.197177358074814
0.2,0.273562951855308,1.2591532203435698,1.8237530123687198,8.394354845360883
0.30000000000000004,0.54716307293085,2.5183083430535746,2.7360012107554197,12.591551227100048
0.4,0.9120629719810993,4.197183816640079,3.6489989905024927,16.788754735865044
0.5,1.368262649213075,6.295779692782807,4.561996772319757,20.985958761427277
0.6,1.9157621047644533,8.814096036071525,5.474994555513783,25.183163432887188
0.7000000000000001,2.554561338703368,11.75213292400601,6.3879923393891485,29.38036887934485
0.8,3.2846603510284105,15.109890446996001,7.3009901232504255,33.5775752298999
0.9,4.106059141668627,18.887368708361148,8.213987906402167,37.77478261365146
1.0,5.018757710483518,23.084567824330954,9.126985688148906,41.971991159698064
1.1,6.022756057263033,27.701487924044713,10.039983467795143,46.16920099713759
1.2000000000000002,7.118054181727567,32.738129149551426,10.95298124464534,50.36641225506717
1.3000000000000003,8.304652083527959,38.19449165580974,11.865979018003914,54.56362506258314
1.4000000000000001,9.582549762245481,44.07057561068784,12.778976787175232,58.76083954878096
1.5000000000000002,10.95174721739184,50.36638119496335,13.6919745514636,62.95805584275511
1.6,12.412244448409167,57.08190860232326,14.60497231017326,67.15527407359906
1.7000000000000002,13.964041454670005,64.21715803936378,15.517970062608377,71.35249437040517
1.8000000000000003,15.607138235477308,71.77212972559025,16.43096780807304,75.54971686226463
1.9000000000000001,17.341534790064433,79.74682389341699,17.343965545871242,79.74694167826736
2.0,19.167231117595122,88.14124078816718,18.256963275306887,83.94416894750199
2.1,21.0842272171635,96.95538066807275,19.16996099568378,88.14139879905571
2.2,23.092523087794063,106.18924380427417,20.082958706305607,92.33863136201427
2.3000000000000003,25.124958714330724,115.46194711541624,20.324356265366607,92.72703311142071
2.4000000000000004,27.181534095618805,124.77349088672344,20.565753812880814,93.115437713072
2.5000000000000004,29.262249231340668,134.1238754048167,20.80715135721865,93.50384518093242
2.6,31.36710412117361,143.51310095751117,21.04854889832941,93.89225552694485
2.7,33.496098764789856,152.9411678338164,21.289946436162452,94.28066876305213
2.8000000000000003,35.64923316185657,162.4080763239361,21.531343970667127,94.66908490119704
2.9000000000000004,37.82650731203585,171.91382671926831,21.77274150179278,95.05750395332225
3.0000000000000004,40.02792121498472,181.45841931240534,22.014139029488746,95.4459259313704
3.1,42.229335105770865,190.90501190554238,22.014138907861412,94.46592593137039
3.2,44.430748984041166,200.2536044986794,22.014138782703043,93.48592593137039
3.3000000000000003,46.632162849795144,209.50419709181645,22.0141386575398,92.50592593137038
3.4000000000000004,48.833576703032314,218.65678968495348,22.014138532371696,91.52592593137038
3.5000000000000004,51.034990543752194,227.71138227809053,22.014138407198786,90.54592593137038
3.6,53.23640437195431,236.66797487122756,22.014138282021115,89.56592593137037
3.7,55.43781818763818,245.5265674643646,22.014138156838737,88.58592593137037
3.8000000000000003,57.639231990803346,254.28716005750164,22.014138031651697,87.60592593137036
3.9000000000000004,59.84064578144935,262.9497526506387,22.01413790646005,86.62592593137036
4.0,62.04205955957574,271.5143452437757,22.01413778126384,85.64592593137036
4.1,64.24347332518205,279.98093783691274,22.014137656063124,84.66592593137035
4.2,66.44488707826784,288.34953043004975,22.014137530857948,83.68592593137035
4.3,68.64630081883267,296.6201230231868,22.01413740564836,82.70592593137034
4.3999999999999995,70.84771454687612,304.79271561632385,22.01413728043441,81.72592593137034
4.5,73.04912826239773,312.8673082094609,22.014137155216154,80.74592593137034
4.6,75.25054196539709,320.8439008025979,22.014137029993638,79.76592593137033
4.7,77.45195565587377,328.72249339573494,22.01413690476691,78.78592593137033
4.8,79.65336933382737,336.503085988872,22.014136779536024,77.80592593137033
4.9,81.85478299925748,344.185678582009,22.01413665430103,76.82592593137032
5.0,84.05619665216368,351.77027117514604,22.014136529061975,75.84592593137032
5.1,86.25761029254556,359.25686376828304,22.01413640381891,74.86592593137031
5.2,88.45902392040276,366.6454563614201,22.014136278571886,73.88592593137031
