t [s],x [m],y [m],vx,vy
0.0,0.0,0.0,0.0,0.0
0.1,0.0912848280252589,0.41970124617853904,0.912848280252589,4.19701246178539
0.2,0.2738544840757767,1.2591037514562349,1.825696560505178,8.394025052776959
0.30000000000000004,0.5477139287985255,2.5182215150955685,2.738594447227488,12.591177636393338
0.4,0.9128731518607713,4.197059629608583,3.6515922306224584,16.788381145130153
0.5,1.3693321532901135,6.295618146642402,4.564590014293421,20.985585170338194
0.6,1.9170909331048822,8.813897130682147,5.477587798147688,25.182789840397437
0.7000000000000001,2.556149491314136,11.751896659050896,6.3905855820925375,29.37999528368748
0.8,3.2865078279176605,15.109616821909642,7.3035833660352445,33.57720162858746
0.9,4.108165942905969,18.88705772225724,8.216581149883083,37.77440900347597
1.0,5.021123836260301,23.084219475930336,9.129578933543325,41.97161753673097
1.1,6.025381507952625,27.70110221160331,10.042576716923236,46.16882735672972
1.2000000000000002,7.120938957945633,32.73770607078818,10.955574499930078,50.366038591848714
1.3000000000000003,8.307796186192743,38.194031207834534,11.868572282471108,54.56325137046354
1.4000000000000001,9.585953192638101,44.07007778992942,12.781570064453573,58.760465820948866
1.5000000000000002,10.955409977216572,50.36584599709725,13.694567845784716,62.95768207167831
1.6,12.416166539853748,57.08133602219969,14.607565626371766,67.1549002510244
1.7000000000000002,13.968222880465943,64.21654807093553,15.520563406121948,71.35212048735843
1.8000000000000003,15.61157899896019,71.77148236184058,16.433561184942473,75.54934290905047
1.9000000000000001,17.346234895234243,79.7461391262875,17.346558962740538,79.7465676444692
2.0,19.172190569176575,88.14051860848569,18.25955673942333,83.94379482198185
2.1,21.08944602066638,96.9546210654811,19.172554514898028,88.1410245699542
2.2,23.098001249573556,106.18844676715614,20.085552289071785,92.33825701675033
2.3000000000000003,25.130696241907515,115.46111263036309,20.32694992333957,92.72665863206954
2.4000000000000004,27.187530997514266,124.77261893887386,20.568347556067508,93.1150630851077
2.5000000000000004,29.26850551635145,134.1229659791696,20.809745188371856,93.50347040295752
2.6,31.373619798376037,143.51215403892513,21.051142820245857,93.89188059755521
2.7,33.502873843544315,152.94018340700885,21.292540451682754,94.28029368083709
2.8000000000000003,35.656267651811895,162.4070543734828,21.533938082675796,94.66870966473937
2.9000000000000004,37.83380122313372,171.91276722960262,21.77533571321823,95.05712856119821
3.0000000000000004,40.03547455746405,181.4573222678176,22.0167333433033,95.44555038214969
3.1,42.23714789017218,190.90387730603257,22.016733327081305,94.46555038214969
3.2,44.43882122121102,200.25243234424755,22.01673331038843,93.48555038214968
3.3000000000000003,46.64049455058051,209.50298738246252,22.01673329369491,92.50555038214968
3.4000000000000004,48.842167878280584,218.65554242067748,22.01673327700074,91.52555038214967
3.5000000000000004,51.04384120431118,227.71009745889245,22.016733260305926,90.54555038214967
3.6,53.245514528672224,236.6666524971074,22.016733243610478,89.56555038214967
3.7,55.447187851363665,245.52520753532238,22.016733226914404,88.58555038214966
3.8000000000000003,57.64886117238544,254.28576257353734,22.01673321021771,87.60555038214966
3.9000000000000004,59.85053449173748,262.9483176117523,22.016733193520395,86.62555038214965
4.0,62.05220780941973,271.5128726499673,22.016733176822473,85.64555038214965
4.1,64.25388112543212,279.9794276881822,22.01673316012395,84.66555038214965
4.2,66.4555544397746,288.34798272639716,22.016733143424833,83.68555038214964
4.3,68.65722775244711,296.61853776461214,22.01673312672513,82.70555038214964
4.3999999999999995,70.8589010634496,304.7910928028271,22.01673311002484,81.72555038214963
4.5,73.06057437278199,312.86564784104206,22.016733093323978,80.74555038214963
4.6,75.26224768044425,320.842202879257,22.016733076622547,79.76555038214963
4.7,77.4639209864363,328.720757917472,22.016733059920554,78.78555038214962
4.8,79.66559429075811,336.50131295568696,22.016733043218007,77.80555038214962
4.9,81.8672675934096,344.1838679939019,22.016733026514913,76.82555038214961
5.0,84.06894089439072,351.76842303211686,22.016733009811276,75.84555038214961
5.1,86.27061419370143,359.25497807033184,22.016732993107105,74.8655503821496
5.2,88.47228749134167,366.6435331085468,22.016732976402405,73.8855503821496
5.3,90.67396078731139,373.9340881467618,22.016732959697183,72.9055503821496
5.4,92.87563408161053,381.12664318497673,22.016732942991446,71.9255503821496
5.5,95.07730737423904,388.22119822319166,22.0167329262852,70.94555038214959
5.6,97.27898066519688,395.21775326140664,22.016732909578455,69.96555038214959
5.7,99.480653954484,402.1163082996216,22.01673289287121,68.98555038214958
5.8,101.68232724210034,408.91686333783656,22.01673287616348,68.00555038214958
5.9,103.88400052804587,415.6194183760515,22.016732859455267,67.02555038214958
6.0,106.08567381232054,422.2239734142665,22.01673284274658,66.04555038214957
6.1,108.28734709492429,428.73052845248145,22.016732826037426,65.06555038214957
6.2,110.48902037585707,435.1390834906964,22.01673280932781,64.08555038214956
6.3,112.69069365511884,441.44963852891135,22.016732792617738,63.105550382149566
6.4,114.89236693270956,447.6621935671263,22.01673277590722,62.12555038214957
6.5,117.0940402086292,453.77674860534125,22.01673275919626,61.14555038214957
6.6,119.29571348287769,459.7933036435562,22.016732742484862,60.165550382149576
6.7,121.497386755455,465.71185868177116,22.01673272577304,59.18555038214958
6.8,123.69906002636108,471.5324137199861,22.016732709060793,58.20555038214958
6.9,125.9007332955959,477.2549687582011,22.016732692348132,57.225550382149585
7.0,128.1024065631594,482.87952379641604,22.016732675635065,56.24555038214959
7.1,130.30407982905157,488.406078834631,22.016732658921597,55.26555038214959
7.2,132.50575309327235,493.8346338728459,22.01673264220773,54.285550382149594
7.3,134.7074263558217,499.1651889110609,22.01673262549348,53.3055503821496
7.4,136.9090996166996,504.3977439492759,22.016732608778845,52.3255503821496
7.5,139.11077287590598,509.53229898749083,22.016732592063835,51.345550382149604
7.6,141.31244613344083,514.5688540257058,22.01673257534846,50.36555038214961
7.7,143.5141193893041,519.5074090639208,22.01673255863272,49.38555038214961
7.8,145.71579264349577,524.3479641021357,22.016732541916628,48.40555038214961
7.9,147.91746589601578,529.0905191403507,22.01673252520019,47.425550382149616
8.0,150.11913914686411,533.7350741785657,22.01673250848341,46.44555038214962
8.1,152.32081239604074,538.2816292167806,22.016732491766295,45.46555038214962
8.2,154.52248564354562,542.7301842549956,22.01673247504885,44.485550382149626
8.3,156.72415888937874,547.0807392932105,22.016732458331088,43.50555038214963
8.4,158.92583213354004,551.3332943314255,22.01673244161301,42.52555038214963
8.5,161.1275053760295,555.4878493696405,22.016732424894624,41.545550382149635
8.6,163.3291786168471,559.5444044078554,22.016732408175937,40.56555038214964
8.7,165.53085185599278,563.5029594460703,22.016732391456955,39.58555038214964
8.8,167.73252509346653,567.3635144842854,22.016732374737686,38.605550382149644
8.9,169.93419832926836,571.1260695225003,22.016732358018135,37.62555038214965
9.0,172.13587156339818,574.7906245607153,22.01673234129831,36.64555038214965
9.1,174.33754479585602,578.3571795989302,22.01673232457822,35.665550382149654
9.2,176.5392180266418,581.8257346371452,22.01673230785787,34.68555038214966
9.3,178.74089125575554,585.1962896753602,22.016732291137263,33.70555038214966
9.4,180.94256448319717,588.4688447135751,22.01673227441641,32.72555038214966
9.5,183.1442377089667,591.6433997517901,22.016732257695313,31.745550382149663
9.6,185.3459109330641,594.7199547900051,22.016732240973987,30.765550382149662
9.700000000000001,187.54758415548935,597.69850982822,22.016732224252433,29.785550382149662
9.8,189.7492573762424,600.579064866435,22.01673220753066,28.80555038214966
9.9,191.95093059532329,603.36161990465,22.016732190808668,27.82555038214966
10.0,194.15260381273194,606.0461749428649,22.01673217408647,26.84555038214966
10.1,196.35427702846835,608.6327299810799,22.016732157364075,25.86555038214966
10.200000000000001,198.5559502425325,611.1212850192949,22.016732140641484,24.88555038214966
10.3,200.75762345492438,613.5118400575099,22.016732123918707,23.90555038214966
10.4,202.95929666564396,615.8043950957248,22.01673210719575,22.92555038214966
10.5,205.16096987469123,617.9989501339397,22.01673209047262,21.94555038214966
10.6,207.36264308206617,620.0955051721547,22.01673207374932,20.965550382149658
10.700000000000001,209.56431628776875,622.0940602103697,22.016732057025862,19.985550382149658
10.8,211.76598949179896,623.9946152485846,22.01673204030225,19.005550382149657
10.9,213.96766269415681,625.7971702867997,22.01673202357849,18.025550382149657
11.0,216.16933589484228,627.5017253250146,22.016732006854593,17.045550382149656
11.1,218.37100909385532,629.1082803632296,22.01673199013056,16.065550382149656
11.200000000000001,220.57268229119597,630.6168354014445,22.0167319734064,15.085550382149655
11.3,222.77435548686418,632.0273904396595,22.016731956682122,14.105550382149655
11.4,224.97602868085994,633.3399454778745,22.01673193995773,13.125550382149655
11.5,227.17770187318325,634.5545005160894,22.01673192323323,12.145550382149654
11.6,229.37937506383412,635.6710555543044,22.01673190650863,11.165550382149654
11.700000000000001,231.5810482528125,636.6896105925193,22.01673188978394,10.185550382149653
11.8,233.78272144011842,637.6101656307343,22.016731873059165,9.205550382149653
11.9,235.98439462575186,638.4327206689493,22.016731856334307,8.225550382149653
12.0,238.1860678097128,639.1572757071642,22.016731839609378,7.245550382149652
12.1,240.38774099200123,639.7838307453792,22.01673182288438,6.265550382149652
12.200000000000001,242.58941417261715,640.3123857835942,22.016731806159324,5.285550382149651
12.3,244.79108735156058,640.7429408218092,22.016731789434214,4.305550382149651
12.4,246.9927605288315,641.0754958600241,22.016731772709058,3.325550382149651
12.5,249.19443370442988,641.3100508982391,22.016731755983862,2.345550382149651
12.6,251.39610687835574,641.446605936454,22.016731739258635,1.3655503821496509
12.700000000000001,253.5977800506091,641.485160974669,22.016731722533383,0.38555038214965076
12.8,255.7994532211899,641.425716012884,22.01673170580811,-0.5944496178503493
