t [s],T [N]
2.68,17.12131999999997
2.69,16.70355999999998
2.7,16.262299999999996
2.71,15.913889999999995
2.72,15.565479999999994
2.73,15.217069999999993
2.74,14.868659999999991
2.75,14.52024999999999
2.7600000000000002,14.171839999999989
2.77,13.823430000000002
2.7800000000000002,13.475019999999986
2.79,13.12661
2.8000000000000003,12.778199999999984
2.81,12.429789999999997
2.82,12.073239999999998
2.83,11.778059999999982
2.84,11.482879999999994
2.85,11.187699999999992
2.86,10.89251999999999
2.87,10.597339999999988
2.88,10.30216
2.89,10.006979999999984
2.9,9.711799999999997
2.91,9.41661999999998
2.92,9.121439999999993
2.93,8.82625999999999
2.94,8.51558
2.95,7.792149999999992
2.96,7.068720000000013
2.97,6.345289999999977
2.98,5.621859999999998
2.99,4.8984299999999905
3.0,4.175000000000011
3.0100000000000002,3.4515699999999754
3.02,2.7281399999999962
3.0300000000000002,2.0047099999999887
3.04,1.281279999999981
3.0500000000000003,0.5578499999999735
