t [s],T [N]
0.92,319.8354268774705
0.93,318.25439920948634
0.9400000000000001,316.67337154150215
0.9500000000000001,315.09234387351796
0.96,313.51131620553383
0.97,311.9302885375496
0.98,310.3492608695654
0.99,308.7682332015812
1.0,307.187205533597
1.01,305.92731284916255
1.02,304.7477039106151
1.03,303.56809497206757
1.04,302.3884860335201
1.05,301.20887709497265
1.06,300.02926815642513
1.07,298.8496592178777
1.08,297.67005027933016
1.09,296.4904413407827
1.1,295.3108324022352
1.11,294.1312234636877
1.12,292.95161452514026
1.1300000000000001,291.77200558659274
1.1400000000000001,290.5923966480453
1.1500000000000001,289.4127877094978
1.16,288.23317877095036
1.17,287.0535698324029
1.18,285.8739608938554
1.19,284.6943519553079
1.2,283.51474301676046
1.21,282.33513407821295
1.22,281.15552513966543
1.23,279.975916201118
1.24,278.7963072625705
1.25,277.616698324023
1.26,276.43708938547553
1.27,275.25748044692807
1.28,274.07787150838055
1.29,272.8982625698331
1.3,271.71865363128563
1.31,270.5390446927381
1.32,269.35943575419066
1.33,268.1798268156432
1.34,267.0002178770957
1.35,265.8206089385482
1.36,264.6410000000003
1.37,260.7474893617024
1.3800000000000001,256.85397872340457
1.3900000000000001,252.96046808510664
1.4000000000000001,249.06695744680883
1.41,245.17344680851102
1.42,241.2799361702131
1.43,237.38642553191517
1.44,233.49291489361735
1.45,229.59940425531943
1.46,222.05937499999777
1.47,212.0883333333311
1.48,202.1172916666644
1.49,192.14624999999774
1.5,182.17520833333106
1.51,177.12086956521773
1.52,173.29570652173948
1.53,169.47054347826122
1.54,165.64538043478296
1.55,161.8202173913047
1.56,157.99505434782645
1.57,154.1698913043482
1.58,150.34472826086983
1.59,146.51956521739157
1.6,142.69440217391332
1.61,138.86923913043506
1.62,135.0440760869568
1.6300000000000001,131.21891304347855
1.6400000000000001,127.3937500000003
1.6500000000000001,123.56858695652204
1.6600000000000001,119.74342391304378
1.67,115.91826086956564
1.68,112.09309782608727
1.69,109.05198107255467
1.7,107.1869337539427
1.71,105.32188643533073
1.72,103.4568391167187
1.73,101.59179179810673
1.74,99.72674447949476
1.75,97.86169716088273
1.76,95.99664984227076
1.77,94.13160252365878
1.78,92.26655520504676
1.79,90.40150788643479
1.8,88.53646056782276
1.81,86.67141324921079
1.82,84.80636593059882
1.83,82.94131861198679
1.84,81.07627129337482
1.85,79.21122397476285
1.86,77.34617665615082
1.87,75.48112933753885
1.8800000000000001,73.61608201892687
1.8900000000000001,71.75103470031485
1.9000000000000001,69.88598738170288
1.9100000000000001,68.0209400630909
1.92,66.15589274447893
